kod;warp;tip;deger;tarih;cip;cm;en;gr;Comp;A1;A11;A111;A1111;A2;A22;A222;A2222;A3;A33;A333;A3333;A4;A44;A444;A4444;A5;A55;A555;A5555;A6;A66;A666;A6666;A7;A77;A777;A7777;A8;A88;A888;A8888;PÇ;P2;P2B;P2F;P3;P3B;P3F;P4;P4B;P4F;P5;P5B;P5F;P6;P6B;P6F;P7;P7B;P7F;P8;P8B;P8F;P9;P9B;P9F;P10;P10B;P10F;SAT_A;SAT_B;SAT_C;SAT_D;SAT_E;SAT_F;SAT_G;SAT_H;SAT_I;SAT_J;SAT_K
YLZ-25386;CZ00034d;TFT60;3,25$;09.01.25;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1200;24;;300 DEN FDY RENKLÝ;1400;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 7;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;288 gr;1,07 $;APRE;0,80  $;0,50 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25387;CZ00034d;TFT60;2,51$;09.01.25;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;980;28;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1428;28;;300 DEN FDY RENKLÝ;1512;28;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25388;CZ00034d;TFT60;4,00$;09.01.25;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2303;28;;300 DEN FDY RENKLÝ;1617;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25438;CZ00034d;TFT60;4,00$;12.01.25;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1670;28;;300 DEN FDY RENKLÝ;2250;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25440;CZ00034d;TFT60;1,64$;06.01.25;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1960;28;;300 DEN FDY RENKLÝ;1960;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25452;CZ00034d;TFT60;1,82$;23.12.24;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2296;28;;300 DEN FDY RENKLÝ;1624;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25453;CZ00034d;TFT60;5,85$;23.12.24;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1528;28;;300 DEN FDY RENKLÝ;2392;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25455;CZ00034d;TFT60;4,15$;12.01.25;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2674;28;;300 DEN FDY RENKLÝ;1246;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25456;CZ00034d;TFT60;4,15$;13.01.25;(034d) TAFTA 60'lý 150 Turlu;22,1/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;2904;24;;5 NM MÝCRO ÞÖNÝL;64;10;;5 NM MÝCRO ÞÖNÝL;63;10;;5 NM MÝCRO ÞÖNÝL;63;10;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,22 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;319 gr;1,61 $;APRE;0,80  $;0,53 $;;;;;;;;;;;;;;;;;;;;;;;;;;
YLZ-25458;CZ00034d;TFT60;4,13$;13.01.25;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;3640;28;;300 DEN FDY RENKLÝ;280;28;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,15 $;APRE;0,80  $;0,52 $;;;;;;;;;;;;;;;;;;;;;;;;;;
