kod;warp;tip;deger;tarih;cip;cm;en;gr;Comp;A1;A11;A111;A1111;A2;A22;A222;A2222;A3;A33;A333;A3333;A4;A44;A444;A4444;A5;A55;A555;A5555;A6;A66;A666;A6666;A7;A77;A777;A7777;A8;A88;A888;A8888;PÇ;P2;P2B;P2F;P3;P3B;P3F;P4;P4B;P4F;P5;P5B;P5F;P6;P6B;P6F;P7;P7B;P7F;P8;P8B;P8F;P9;P9B;P9F;P10;P10B;P10F;SAT_A;SAT_B;SAT_C;SAT_D;SAT_E;SAT_F;SAT_G;SAT_H;SAT_I;SAT_J;SAT_K
322690;CZ00064;0;;;(064) TAFTA 60'lý GKÞ;22,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;220;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,10 $;ÇÖZGÜ ÝPLÝK;355 gr;1,10 $;ATKI ÝPLÝK;253 gr;0,94 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322692;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN FDY RENKLÝ;792;34;;16/1 NE PAMUK;792;34;;150 DEN ÇEKEN ;396;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;355 gr;1,21 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322698;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;32,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1080;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1080;32;;150 DEN ÇEKEN ;540;32;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,76 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;319 gr;1,18 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322699;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;32,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;324;32;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;324;32;;150 DEN ÇEKEN ;162;32;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,76 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;319 gr;1,18 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322701;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;34;;150 DEN ÇEKEN ;200;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;350 gr;1,30 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322706;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;840;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;840;34;;150 DEN ÇEKEN ;280;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;350 gr;1,30 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322722;CZ00051;ORG40;;;(051) ORGANZE TEX;42,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;840;42;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;840;42;;150 DEN ÇEKEN ;280;42;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;2,31 $;ÇÖZGÜ ÝPLÝK;031 gr;0,38 $;ATKI ÝPLÝK;457 gr;1,69 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322725;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;36,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;36;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;36;;150 DEN ÇEKEN ;200;36;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,98 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;370 gr;1,37 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322729;CZ00064;0;;;(064) TAFTA 60'lý GKÞ;37,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;648;37;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;648;37;;150 DEN ÇEKEN ;216;37;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,050 $;1,85 $;ÇÖZGÜ ÝPLÝK;355 gr;1,10 $;ATKI ÝPLÝK;396 gr;1,47 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322732;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;36,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;36;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;36;;150 DEN ÇEKEN ;200;36;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,98 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;370 gr;1,37 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322735;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;830;28;;150 DEN ÇEKEN ;208;28;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;279 gr;1,03 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322747;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;22,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1600;22;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;312;22;;PARLAK TAKVÝYESÝZ SÝM;288;22;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,21 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;220 gr;0,87 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322748;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;36,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5160;36;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5160;36;;150 DEN ÇEKEN ;1796;36;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,98 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;369 gr;1,37 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322749;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;7480;26;;150 DEN ÇEKEN ;1870;26;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;259 gr;0,96 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322750;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;4420;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;4420;34;;150 DEN ÇEKEN ;2210;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;339 gr;1,26 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322752;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;28,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1000;28;;150 DEN ÇEKEN ;250;28;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,54 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;279 gr;1,03 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322755;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1800;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1800;34;;150 DEN ÇEKEN ;900;34;;PARLAK TAKVÝYESÝZ SÝM;72;34;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;335 gr;1,25 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322756;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;36,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5200;36;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5200;36;;150 DEN ÇEKEN ;1800;36;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,98 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;369 gr;1,37 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322757;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;840;26;;150 DEN ÇEKEN ;210;26;;PARLAK TAKVÝYESÝZ SÝM;432;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;207 gr;0,90 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322758;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1080;26;;150 DEN ÇEKEN ;270;26;;PARLAK TAKVÝYESÝZ SÝM;264;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;230 gr;0,93 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322759;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1500;26;;150 DEN ÇEKEN ;375;26;;PARLAK TAKVÝYESÝZ SÝM;156;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;245 gr;0,94 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322760;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;7480;26;;150 DEN ÇEKEN ;1870;26;;PARLAK TAKVÝYESÝZ SÝM;1037;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;241 gr;0,94 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322761;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;6760;26;;150 DEN ÇEKEN ;1690;26;;PARLAK TAKVÝYESÝZ SÝM;360;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;252 gr;0,95 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322762;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;36,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5160;36;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5160;36;;150 DEN ÇEKEN ;1796;36;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,98 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;369 gr;1,37 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322777;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;36,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5108;36;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5108;36;;150 DEN ÇEKEN ;2554;36;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,98 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;359 gr;1,33 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322779;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;900;26;;150 DEN ÇEKEN ;225;26;;PARLAK TAKVÝYESÝZ SÝM;188;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;234 gr;0,93 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322780;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;36,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5100;36;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5100;36;;150 DEN ÇEKEN ;1900;36;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,98 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;367 gr;1,36 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322781;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;7480;26;;150 DEN ÇEKEN ;1760;26;;PARLAK TAKVÝYESÝZ SÝM;506;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;251 gr;0,95 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322782;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;6760;26;;150 DEN ÇEKEN ;1690;26;;PARLAK TAKVÝYESÝZ SÝM;360;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;252 gr;0,95 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322783;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;7480;26;;150 DEN ÇEKEN ;1870;26;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;259 gr;0,96 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322784;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;7480;26;;150 DEN ÇEKEN ;1870;26;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;259 gr;0,96 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322785;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;7480;26;;150 DEN ÇEKEN ;1870;26;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;259 gr;0,96 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322786;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;7480;26;;150 DEN ÇEKEN ;1870;26;;PARLAK TAKVÝYESÝZ SÝM;1710;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;232 gr;0,93 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322787;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;7480;26;;150 DEN ÇEKEN ;1870;26;;PARLAK TAKVÝYESÝZ SÝM;2263;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;224 gr;0,92 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322788;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;7480;26;;150 DEN ÇEKEN ;1870;26;;PARLAK TAKVÝYESÝZ SÝM;912;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;243 gr;0,94 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322789;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;7480;26;;150 DEN ÇEKEN ;1760;26;;PARLAK TAKVÝYESÝZ SÝM;1523;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;235 gr;0,94 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322790;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;7480;26;;150 DEN ÇEKEN ;1760;26;;PARLAK TAKVÝYESÝZ SÝM;420;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;253 gr;0,96 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322791;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;30,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;480;30;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;480;30;;;;;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,65 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;332 gr;1,23 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322793;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;540;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;540;34;;150 DEN ÇEKEN ;180;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;350 gr;1,30 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322794;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;34;;150 DEN ÇEKEN ;200;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;350 gr;1,30 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322795;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;36,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5100;36;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5100;36;;150 DEN ÇEKEN ;2400;36;;PARLAK TAKVÝYESÝZ SÝM;549;36;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,98 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;350 gr;1,32 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322796;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;432;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;432;34;;150 DEN ÇEKEN ;144;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;350 gr;1,30 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322797;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;36,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5100;36;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5100;36;;150 DEN ÇEKEN ;2400;36;;PARLAK TAKVÝYESÝZ SÝM;732;36;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,98 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;347 gr;1,32 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322798;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;36,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5100;36;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;5100;36;;150 DEN ÇEKEN ;1700;36;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,98 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;370 gr;1,37 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322799;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;7480;26;;150 DEN ÇEKEN ;1760;26;;PARLAK TAKVÝYESÝZ SÝM;217;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;256 gr;0,96 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322800;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;480;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;480;34;;150 DEN ÇEKEN ;160;34;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;350 gr;1,30 $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322801;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;26,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;6760;26;;150 DEN ÇEKEN ;1690;26;;PARLAK TAKVÝYESÝZ SÝM;121;26;;;;;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,43 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;257 gr;0,96 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322806;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;600;34;;150 DEN ÇEKEN ;300;34;;PARLAK TAKVÝYESÝZ SÝM;140;34;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;319 gr;1,23 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322807;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;384;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;384;34;;150 DEN ÇEKEN ;192;34;;PARLAK TAKVÝYESÝZ SÝM;136;34;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;310 gr;1,22 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322808;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;480;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;480;34;;150 DEN ÇEKEN ;240;34;;PARLAK TAKVÝYESÝZ SÝM;108;34;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;320 gr;1,23 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322809;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;640;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;640;34;;150 DEN ÇEKEN ;320;34;;PARLAK TAKVÝYESÝZ SÝM;162;34;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;317 gr;1,23 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
322810;CZ00034d;TFT60;;;(034d) TAFTA 60'lý 150 Turlu;34,0/cm;;;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;592;34;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;592;34;;150 DEN ÇEKEN ;296;34;;PARLAK TAKVÝYESÝZ SÝM;144;34;;;;;;;;;;;;;;;;;;% -100;JAKAR;0,055 $;1,87 $;ÇÖZGÜ ÝPLÝK;342 gr;1,33 $;ATKI ÝPLÝK;318 gr;1,23 $;KESME;0,12  $;0,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
